Number,Inserted,Space,Time
1,5.24288e+07,179907825664,0.120588
2,1.04858e+08,179855339520,0.124443
3,1.57286e+08,179802857472,0.122546
4,2.09715e+08,179750375424,0.124393
5,2.62144e+08,179697893376,0.125903
6,3.14573e+08,179645411328,0.118703
7,3.67002e+08,179592929280,0.121536
8,4.1943e+08,179540443136,0.123685
9,4.71859e+08,179487961088,0.122059
10,5.24288e+08,179435479040,0.122967
11,5.76717e+08,179382996992,0.12227
12,6.29146e+08,179330514944,0.118802
13,6.81574e+08,179278032896,0.119218
14,7.34003e+08,179225550848,0.121773
15,7.86432e+08,179173068800,0.120899
16,8.38861e+08,179120586752,0.1207
17,8.9129e+08,179068104704,0.122057
18,9.43718e+08,179015622656,0.118947
19,9.96147e+08,178963140608,0.120853
20,1.04858e+09,178910658560,0.136817
21,1.101e+09,178858176512,0.13781
22,1.15343e+09,178805694464,0.122182
23,1.20586e+09,178753212416,0.121512
24,1.25829e+09,178700730368,0.123997
25,1.31072e+09,178648248320,0.118682
26,1.36315e+09,178595766272,0.120261
27,1.41558e+09,178543284224,0.121072
28,1.46801e+09,178490802176,0.11976
29,1.52044e+09,178438320128,0.12071
30,1.57286e+09,178385838080,0.118314
31,1.62529e+09,178333356032,0.119124
32,1.67772e+09,178280873984,0.120879
33,1.73015e+09,178228391936,0.119089
34,1.78258e+09,178175909888,0.12083
35,1.83501e+09,178123427840,0.124017
36,1.88744e+09,178070945792,0.118961
37,1.93987e+09,178018463744,0.117143
38,1.99229e+09,177965981696,0.120634
39,2.04472e+09,177913499648,0.117884
40,2.09715e+09,177861017600,0.12028
41,2.14958e+09,177808535552,0.119091
42,2.20201e+09,177756053504,0.120908
43,2.25444e+09,177703571456,0.119277
44,2.30687e+09,177651089408,0.121254
45,2.3593e+09,177598607360,0.119409
46,2.41172e+09,177546125312,0.120414
47,2.46415e+09,177493643264,0.121112
48,2.51658e+09,177441161216,0.11791
49,2.56901e+09,177388679168,0.120286
50,2.62144e+09,177336197120,0.121257
51,2.67387e+09,177283715072,0.120302
52,2.7263e+09,177231233024,0.120833
53,2.77873e+09,177178750976,0.121456
54,2.83116e+09,177126268928,0.123444
55,2.88358e+09,177073786880,0.151493
56,2.93601e+09,177021304832,0.118956
57,2.98844e+09,176968822784,0.11924
58,3.04087e+09,176916340736,0.119103
59,3.0933e+09,176863858688,0.123571
60,3.14573e+09,176811376640,0.119
61,3.19816e+09,176758894592,0.117463
62,3.25059e+09,176706412544,0.12218
63,3.30301e+09,176653930496,0.117982
64,3.35544e+09,176601448448,0.118172
65,3.40787e+09,176548966400,0.118569
66,3.4603e+09,176496484352,0.11724
67,3.51273e+09,176444002304,0.11726
68,3.56516e+09,176391520256,0.115926
69,3.61759e+09,176339038208,0.1176
70,3.67002e+09,176286556160,0.118118
71,3.72244e+09,176234074112,0.12356
72,3.77487e+09,176181592064,0.117487
73,3.8273e+09,176129110016,0.116465
74,3.87973e+09,176076627968,0.119424
75,3.93216e+09,176024145920,0.118021
76,3.98459e+09,175971663872,0.11717
77,4.03702e+09,175919181824,0.120764
78,4.08945e+09,175866699776,0.116692
79,4.14188e+09,175814217728,0.118409
80,4.1943e+09,175761735680,0.116239
81,4.24673e+09,175709253632,0.120262
82,4.29916e+09,175656771584,0.115746
83,4.35159e+09,175604289536,0.117415
84,4.40402e+09,175551807488,0.11678
85,4.45645e+09,175499325440,0.120487
86,4.50888e+09,175446843392,0.121325
87,4.56131e+09,175394361344,0.117926
88,4.61373e+09,175341879296,0.116114
89,4.66616e+09,175289397248,0.120073
90,4.71859e+09,175236915200,0.117436
91,4.77102e+09,175184433152,0.117954
92,4.82345e+09,175131951104,0.120202
93,4.87588e+09,175079469056,0.117558
94,4.92831e+09,175026987008,0.118209
95,4.98074e+09,174974504960,0.113845
96,5.03316e+09,174922022912,0.133923
97,5.08559e+09,174869540864,0.120536
98,5.13802e+09,174817058816,0.119225
99,5.19045e+09,174764576768,0.11697
100,5.24288e+09,174712094720,0.119889
101,5.29531e+09,174659612672,0.120944
102,5.34774e+09,174607130624,0.118227
103,5.40017e+09,174554648576,0.115146
104,5.4526e+09,174502166528,0.117964
105,5.50502e+09,174449684480,0.11937
106,5.55745e+09,174397202432,0.120034
107,5.60988e+09,174344720384,0.120287
108,5.66231e+09,174292238336,0.118684
109,5.71474e+09,174239756288,0.120864
110,5.76717e+09,174187274240,0.117304
111,5.8196e+09,174134792192,0.118585
112,5.87203e+09,174082306048,0.117876
113,5.92445e+09,174029824000,0.117846
114,5.97688e+09,173977341952,0.115961
115,6.02931e+09,173924859904,0.120009
116,6.08174e+09,173872377856,0.119976
117,6.13417e+09,173819895808,0.11661
118,6.1866e+09,173767413760,0.116557
119,6.23903e+09,173714931712,0.118002
120,6.29146e+09,173662449664,0.120467
121,6.34388e+09,173609967616,0.117104
122,6.39631e+09,173557485568,0.118908
123,6.44874e+09,173505003520,0.118467
124,6.50117e+09,173452521472,0.120102
125,6.5536e+09,173400039424,0.120073
126,6.60603e+09,173347557376,0.120005
127,6.65846e+09,173295075328,0.115934
128,6.71089e+09,173242593280,0.123051
129,6.76332e+09,173190111232,0.115027
130,6.81574e+09,173137629184,0.130237
131,6.86817e+09,173085147136,0.126787
132,6.9206e+09,173032665088,0.121132
133,6.97303e+09,172980183040,0.11709
134,7.02546e+09,172927700992,0.119256
135,7.07789e+09,172875218944,0.11808
136,7.13032e+09,172822736896,0.116253
137,7.18275e+09,172770254848,0.11647
138,7.23517e+09,172717772800,0.11766
139,7.2876e+09,172665290752,0.119457
140,7.34003e+09,172612808704,0.121302
141,7.39246e+09,172560326656,0.11953
142,7.44489e+09,172507844608,0.117421
143,7.49732e+09,172455362560,0.119193
144,7.54975e+09,172402880512,0.116476
145,7.60218e+09,172350398464,0.115897
146,7.6546e+09,172297916416,0.120032
147,7.70703e+09,172245434368,0.116447
148,7.75946e+09,172192952320,0.117461
149,7.81189e+09,172140470272,0.117213
150,7.86432e+09,172087988224,0.118123
151,7.91675e+09,172035506176,0.117909
152,7.96918e+09,171983024128,0.117906
153,8.02161e+09,171930542080,0.116261
154,8.07404e+09,171878060032,0.120003
155,8.12646e+09,171825577984,0.121414
156,8.17889e+09,171773095936,0.116808
157,8.23132e+09,171720613888,0.116781
158,8.28375e+09,171668131840,0.121013
159,8.33618e+09,171615649792,0.117585
160,8.38861e+09,171563167744,0.11687
161,8.44104e+09,171510685696,0.120677
162,8.49347e+09,171458203648,0.11889
163,8.54589e+09,171405721600,0.117159
164,8.59832e+09,171353239552,0.120804
165,8.65075e+09,171300757504,0.116944
166,8.70318e+09,171248275456,0.12918
167,8.75561e+09,171195793408,0.126874
168,8.80804e+09,171143311360,0.117537
169,8.86047e+09,171090829312,0.120794
170,8.9129e+09,171038347264,0.115189
171,8.96532e+09,170985865216,0.119471
172,9.01775e+09,170933383168,0.117394
173,9.07018e+09,170880901120,0.119408
174,9.12261e+09,170828419072,0.118614
175,9.17504e+09,170775937024,0.118895
176,9.22747e+09,170723454976,0.116133
177,9.2799e+09,170670972928,0.118271
178,9.33233e+09,170618490880,0.121073
179,9.38476e+09,170566008832,0.119546
180,9.43718e+09,170513526784,0.119056
181,9.48961e+09,170461044736,0.121897
182,9.54204e+09,170408562688,0.120049
183,9.59447e+09,170356080640,0.119745
184,9.6469e+09,170303598592,0.119878
185,9.69933e+09,170251116544,0.123426
186,9.75176e+09,170198634496,0.121527
187,9.80419e+09,170146152448,0.118342
188,9.85661e+09,170093670400,0.118181
189,9.90904e+09,170041188352,0.117196
190,9.96147e+09,169988706304,0.119255
191,1.00139e+10,169936224256,0.116442
192,1.00663e+10,169883742208,0.118096
193,1.01188e+10,169831260160,0.117566
194,1.01712e+10,169778778112,0.117944
195,1.02236e+10,169726296064,0.119363
196,1.0276e+10,169673814016,0.118948
197,1.03285e+10,169621331968,0.121967
198,1.03809e+10,169568849920,0.120108
199,1.04333e+10,169516367872,0.120301
200,1.04858e+10,169463885824,0.119413
201,1.04858e+10,169516367872,50.162
200,1.04858e+10,169568849920,55.8098
199,1.04858e+10,169621331968,55.5106
198,1.04858e+10,169673809920,54.9127
197,1.04858e+10,169726291968,54.8601
196,1.04858e+10,169778774016,54.5083
195,1.04858e+10,169831256064,54.4201
194,1.04858e+10,169883738112,53.6747
193,1.04858e+10,169936220160,53.7045
192,1.04858e+10,169988702208,52.9532
191,1.04858e+10,170041180160,52.9973
190,1.04858e+10,170093662208,52.5556
189,1.04858e+10,170146144256,52.3037
188,1.04858e+10,170198626304,52.327
187,1.04858e+10,170251108352,51.6983
186,1.04858e+10,170303590400,51.5691
185,1.04858e+10,170356072448,51.3622
184,1.04858e+10,170408554496,51.0472
183,1.04858e+10,170461036544,50.8857
182,1.04858e+10,170513518592,50.6739
181,1.04858e+10,170565996544,50.0993
180,1.04858e+10,170618478592,49.8798
179,1.04858e+10,170670960640,49.3511
178,1.04858e+10,170723442688,49.5889
177,1.04858e+10,170775920640,49.2195
176,1.04858e+10,170828402688,48.867
175,1.04858e+10,170880884736,48.5168
174,1.04858e+10,170933366784,47.4273
173,1.04858e+10,170985848832,47.7907
172,1.04858e+10,171038330880,48.1343
171,1.04858e+10,171090812928,47.7271
170,1.04858e+10,171143294976,46.9331
169,1.04858e+10,171195772928,47.349
168,1.04858e+10,171248254976,47.1077
167,1.04858e+10,171300737024,46.7115
166,1.04858e+10,171353219072,46.1721
165,1.04858e+10,171405701120,45.5318
164,1.04858e+10,171458183168,44.8424
163,1.04858e+10,171510665216,42.916
162,1.04858e+10,171563147264,43.1813
161,1.04858e+10,171615625216,41.2199
160,1.04858e+10,171668107264,41.1985
159,1.04858e+10,171720589312,41.1655
158,1.04858e+10,171773071360,40.2953
157,1.04858e+10,171825553408,39.84
156,1.04858e+10,171878035456,39.9911
155,1.04858e+10,171930517504,39.4316
154,1.04858e+10,171982999552,39.8496
153,1.04858e+10,172035481600,38.7219
152,1.04858e+10,172087963648,39.6133
151,1.04858e+10,172140445696,38.2828
150,1.04858e+10,172192927744,37.8024
149,1.04858e+10,172245409792,37.4127
148,1.04858e+10,172297887744,37.5459
147,1.04858e+10,172350369792,36.689
146,1.04858e+10,172402851840,37.3497
145,1.04858e+10,172455333888,36.8299
144,1.04858e+10,172507815936,36.5384
143,1.04858e+10,172560297984,36.8596
142,1.04858e+10,172612775936,36.5425
141,1.04858e+10,172665257984,35.8016
140,1.04858e+10,172717740032,35.7012
139,1.04858e+10,172770222080,35.9752
138,1.04858e+10,172822704128,35.6516
137,1.04858e+10,172875186176,35.6901
136,1.04858e+10,172927668224,35.7167
135,1.04858e+10,172980150272,34.5358
134,1.04858e+10,173032632320,33.83
133,1.04858e+10,173085114368,33.7805
132,1.04858e+10,173137596416,33.8586
131,1.04858e+10,173190078464,33.0723
130,1.04858e+10,173242560512,33.2865
129,1.04858e+10,173295042560,32.5379
128,1.04858e+10,173347524608,32.1361
127,1.04858e+10,173400002560,30.3698
126,1.04858e+10,173452484608,29.0416
125,1.04858e+10,173504966656,28.2828
124,1.04858e+10,173557448704,28.2881
123,1.04858e+10,173609930752,28.2898
122,1.04858e+10,173662412800,28.2514
121,1.04858e+10,173714894848,28.7912
120,1.04858e+10,173767376896,28.2028
119,1.04858e+10,173819858944,27.7416
118,1.04858e+10,173872340992,28.3889
117,1.04858e+10,173924823040,27.6766
116,1.04858e+10,173977305088,27.2168
115,1.04858e+10,174029787136,27.2645
114,1.04858e+10,174082269184,28.2533
113,1.04858e+10,174134751232,27.2697
112,1.04858e+10,174187233280,27.0863
111,1.04858e+10,174239715328,27.1821
110,1.04858e+10,174292197376,27.3046
109,1.04858e+10,174344679424,26.9024
108,1.04858e+10,174397161472,25.9877
107,1.04858e+10,174449643520,26.3586
106,1.04858e+10,174502125568,25.6706
105,1.04858e+10,174554607616,26.8066
104,1.04858e+10,174607081472,26.6098
103,1.04858e+10,174659563520,25.4076
102,1.04858e+10,174712045568,25.3202
101,1.04858e+10,174764527616,25.4522
100,1.04858e+10,174817009664,24.8715
99,1.04858e+10,174869491712,24.4474
98,1.04858e+10,174921973760,24.9349
97,1.04858e+10,174974455808,24.5876
96,1.04858e+10,175026937856,24.2666
95,1.04858e+10,175079419904,23.5702
94,1.04858e+10,175131901952,24.0814
93,1.04858e+10,175184384000,23.9717
92,1.04858e+10,175236866048,24.4606
91,1.04858e+10,175289348096,23.9163
90,1.04858e+10,175341830144,23.8971
89,1.04858e+10,175394312192,23.4574
88,1.04858e+10,175446794240,23.4442
87,1.04858e+10,175499276288,22.7562
